table_name,num_rows,num_columns,column_names
danso_khuvuc.csv,378,3,"Khu vực, Năm, Dân số"
danso_gioitinh.csv,12,3,"Năm, Giới tính, Dân số"
danso_khuvuc_gioitinh.csv,756,4,"Khu vực, Năm, Giới tính, Dân số"
danso_khuvuc_loaikhuvuc.csv,756,4,"Khu vực, Năm, Loại khu vực, Dân số"
laodongcovieclam_khuvuc.csv,378,3,"Khu vực, Năm, Lao động có việc làm"
lucluonglaodong_gioitinh.csv,12,3,"Năm, Giới tính, Lực lượng lao động"
lucluonglaodong_khuvuc.csv,384,3,"Khu vực, Năm, Lực lượng lao động"
lucluonglaodong_loaikhuvuc.csv,12,3,"Năm, Loại khu vực, Lực lượng lao động"
lucluonglaodong_nhomtuoi.csv,18,3,"Năm, Nhóm tuổi, Lực lượng lao động"
matdodanso_khuvuc_dientich_danso.csv,378,5,"Khu vực, Năm, Diện tích, Dân số, Mật độ dân số"
nangsuatlaodong_khuvuc.csv,252,3,"Khu vực, Năm, Năng suất lao động"
nangsuatlaodong_nganhkinhte.csv,100,3,"Ngành kinh tế, Năm, Năng suất lao động"
solaodongcovieclam_gioitinh.csv,12,3,"Năm, Giới tính, Số lao động có việc làm"
solaodongcovieclam_loaihinhkinhte.csv,18,3,"Năm, Loại hình kinh tế, Số lao động có việc làm"
solaodongcovieclam_loaikhuvuc.csv,12,3,"Năm, Loại khu vực, Số lao động có việc làm"
solaodongcovieclam_nganhkinhte.csv,126,3,"Ngành kinh tế, Năm, Số lao động có việc làm"
solaodongcovieclam_nganhnghe.csv,60,3,"Ngành nghề, Năm, Số lao động có việc làm"
solaodongcovieclam_nhomtuoi.csv,48,3,"Nhóm tuổi, Năm, Số lao động có việc làm"
solaodongcovieclam_vithevieclam.csv,36,3,"Vị thế việc làm, Năm, Số lao động có việc làm"
tuoitho_gioitinh.csv,12,3,"Giới tính, Năm, Tuổi thọ"
tuoitho_khuvuc.csv,378,3,"Khu vực, Năm, Tuổi thọ"
tuoitho_loaikhuvuc.csv,12,3,"Loại khu vực, Năm, Tuổi thọ"
tuoitho_vung.csv,36,3,"Vùng, Năm, Tuổi thọ"
tyledansobietchu_khuvuc.csv,378,3,"Khu vực, Năm, Tỷ lệ dân số biết chữ"
tyledansobietchu_loaikhuvuc.csv,12,3,"Năm, Loại khu vực, Tỷ lệ dân số biết chữ"
tylelaodongdaquadaotao_gioitinh.csv,12,3,"Năm, Giới tính, Tỷ lệ lao động đã qua đào tạo"
tylelaodongdaquadaotao_khuvuc.csv,378,3,"Khu vực, Năm, Tỷ lệ lao động đã qua đào tạo"
tylelaodongdaquadaotao_nhomtuoi.csv,48,3,"Nhóm tuổi, Năm, Tỷ lệ lao động đã qua đào tạo"
tylelaodongdaquadaotao_trinhdo.csv,24,3,"Trình độ, Năm, Tỷ lệ lao động đã qua đào tạo"
tylelaodongdaquadaotao_nganhkinhte.csv,126,3,"Ngành kinh tế, Năm, Tỷ lệ lao động đã qua đào tạo"
